#separator:tab
#html:true
#notetype:Basic
#columns:Front	Back	Tags
풀어쓰지 말고 한 줄로 전개하시오.<br>\( (x+1)(x+2)(x+3) \)	\( x^3+6x^2+11x+6 \)<br>\( x^2 \)계수 \( 1+2+3=6 \), \( x \)계수 \( 1\cdot2+2\cdot3+3\cdot1=11 \), 상수 \( 1\cdot2\cdot3=6 \).	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 다항식전개
풀어쓰지 말고 한 줄로 전개하시오.<br>\( (x+1)(x-2)(x+3) \)	\( x^3+2x^2-5x-6 \)<br>\( x^2 \)계수 \( 1-2+3=2 \), \( x \)계수 \( (1)(-2)+(-2)(3)+(3)(1)=-5 \), 상수 \( (1)(-2)(3)=-6 \).	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 다항식전개
풀어쓰지 말고 한 줄로 전개하시오.<br>\( (x+1)(x-2)(x-3) \)	\( x^3-4x^2+x+6 \)<br>\( x^2 \)계수 \( 1-2-3=-4 \), \( x \)계수 \( (1)(-2)+(-2)(-3)+(-3)(1)=1 \), 상수 \( (1)(-2)(-3)=6 \).<br>※ 영상 자막의 구술 답(−5x·2x−6)은 잘못, 계산상 \( x^3-4x^2+x+6 \).	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 다항식전개
함수의 정의를 (세 줄로) 정확히 진술하시오.	두 집합 \( A,B \)가 있을 때, 그 곱집합 \( A\times B \)(순서쌍들의 모임)를 생각하고, 그 \( A\times B \)의 특정 부분집합을 함수라고 부른다. 단, 이 부분집합은 두 조건을 만족해야 한다.<br>(1) 존재성: 각 \( a\in A \)마다 어떤 \( b\in B \)가 존재해 \( (a,b) \)가 이 집합에 들어간다. (2) 유일성: 그 \( b \)가 유일하다.	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 암기 정의
함수의 정의에서 둘째(유일성) 조건을 well-defined 형태(함숫값으로)로 다시 진술하시오.	\( (a,b),(a,b')\)가 모두 함수 집합에 들어가면 \( b=b' \)이다 — 즉 \( f(a)=f(a') \)가 되도록 함숫값이 유일하게 정해진다(well-defined). 그래서 그 \( y \)성분을 "함숫값"이라 부를 수 있다.	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 암기 정의
단사(injective) 함수의 정의를 진술하시오. (\( f:A\to B \) 주어짐)	\( A \)의 서로 다른 두 원소의 함숫값은 서로 다르다.<br>\( a\neq a' \Rightarrow f(a)\neq f(a') \). 대우로는 \( f(a)=f(a')\Rightarrow a=a' \).	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 암기 정의
전사(surjective, onto) 함수의 정의를 진술하시오. (\( f:A\to B \) 주어짐)	치역과 공역이 같다(치역 \( =B \)).<br>형식적으로: \( \forall\, b\in B,\ \exists\, a\in A \ \text{s.t.}\ f(a)=b \).	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 암기 정의
일대일 대응(전단사)의 정의를 진술하시오.	함수 \( f:A\to B \)가 단사이면서 동시에 전사일 때, \( f \)를 일대일 대응(전단사)이라 한다.	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 암기 정의
\( 2\times2 \) 행렬의 행렬식의 정의를 (말로) 정확히 진술하시오.	\( 2\times2 \) 행렬 \( \begin{pmatrix}a&b\\c&d\end{pmatrix} \)에 대하여 행렬식은 \( ad-bc \)이다.<br>※ "행렬식은 \( ad-bc \)"라고만 하면 틀린 진술 — 어느 크기의 행렬인지(\( 2\times2 \))를 반드시 밝혀야 한다.	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 암기 정의
행렬식이 만족하는 군구조 관련 성질을 진술하고, 그 의미를 말하시오.	두 행렬 \( A,B \)에 대해 \( \det(AB)=\det A\cdot\det B \).<br>곱한 뒤 행렬식을 취한 것과 각각의 행렬식을 곱한 것이 같다는 관찰로, 지수법칙 \( a^{x+y}=a^x a^y \)와 같은 관점의 군구조 보존 성질이다.	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 암기 정리
대칭군의 정의를 진술하시오.	자연수 \( n \)을 고정하고 \( A=B=\{1,2,\dots,n\} \)로 둘 때, 이 위의 일대일 대응 함수들의 모임을 (\( n \)차) 대칭군이라 한다.<br>여기에 함수의 합성을 연산으로 주면 군이 된다.	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 암기 정의
대칭군이 군을 이룸은 어떤 구조의 대응으로 확인되는가? (또한 역사적 의의는?)	일대일 대응 함수들의 모임에 함수의 합성을 연산으로 주면 결합법칙·항등원(항등함수)·역원(역함수)이 성립해 군이 된다. 이 대칭군을 다루는 과정에서 갈루아·아벨의 5차 이상 방정식 근의 공식 부재 논증의 오리지널 발상이 나온다.	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 암기 정리
"기초적(elementary)"과 "뻔한(trivial)"의 차이를 설명하시오.	둘은 완전히 다르다. 여기서 다루는 대상은 모두 기초적·초등적이지만 그 어떤 것도 뻔하지 않다. "기초적"이란 어떤 고급 수학을 배우더라도 결국 다 이리로 떨어진다는 의미다.	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 암기 정의
식 \( ax^2+bx+c \)와 방정식 \( ax^2+bx+c=0 \)의 차이, 그리고 근의 공식 유도에서 \( a\neq0 \) 조건이 필요한 이유를 말하시오.	식은 표현일 뿐이고 "\( =0 \)"을 말해야 비로소 방정식을 선언한 것이다. 또한 \( a\neq0 \)이어야 2차 방정식이며, 이 조건이 빠지면 2차가 아니게 된다(완전제곱 유도에서 \( a \)로 묶고 나누는 단계가 성립하려면 필요).	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 암기 정의
