#separator:tab
#html:true
#notetype:Basic
#columns:Front	Back	Tags
다음을 곱의 미분법으로 미분하시오.<br>\( x^2\sin x \)	\( 2x\sin x + x^2\cos x \)<br>끝 항 부호는 \(+\).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 곱의미분
다음을 곱의 미분법으로 미분하시오.<br>\( \sin x\cos x \)	\( \cos^2 x - \sin^2 x \quad (=\cos 2x) \)<br>\( \cos x\cos x + \sin x(-\sin x) \).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 곱의미분
다음을 곱의 미분법으로 미분하시오.<br>\( x^2\cdot 2^{x} \)	\( 2x\cdot 2^{x} + x^2\cdot 2^{x}\ln 2 \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 곱의미분
다음을 곱의 미분법으로 미분하시오 (정의역 주의).<br>\( \sqrt{x}\sin x \)	\( \sqrt{x}\cos x + \dfrac{1}{2}x^{-1/2}\sin x \quad (x>0) \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 곱의미분
다음을 연쇄법칙으로 미분하시오 (정의역 주의).<br>\( \ln(5x+1) \)	\( \dfrac{5}{5x+1} \quad \Big(x>-\tfrac15\Big) \)<br>\( \dfrac{1}{5x+1}\cdot 5 \).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오.<br>\( \cos(4x) \)	\( -4\sin(4x) \)<br>바깥 \(\cos\) 미분 \(-\sin(4x)\), 안쪽 \(4x\) 미분 \(4\).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오.<br>\( \sin(2x-1) \)	\( 2\cos(2x-1) \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오.<br>\( (1+\sin x)^{7} \)	\( 7(1+\sin x)^{6}\cos x \)<br>바깥 \(u^7\) 미분 \(7u^6\), 안쪽 \(1+\sin x\) 미분 \(\cos x\).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오.<br>\( 2^{\,3x+4} \)	\( 3\cdot 2^{\,3x+4}\ln 2 \)<br>\( 2^{u}\ln 2\cdot u' \), 안쪽 \(3x+4\) 미분 \(3\). (\(\times 3\) 빠뜨리지 말 것.)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오 (정의역 주의).<br>\( \sqrt{5x+1} \)	\( \dfrac{5}{2\sqrt{5x+1}} \quad \Big(x>-\tfrac15\Big) \)<br>\( \dfrac{1}{2\sqrt{5x+1}}\cdot 5 \).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오.<br>\( \ln(x^2+1) \)	\( \dfrac{2x}{x^2+1} \)<br>\( \dfrac{1}{x^2+1}\cdot 2x \). 안쪽이 항상 양수라 정의역 제약 없음. (\(2^{x^2+1}\cdot 2x\)는 오답.)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오.<br>\( e^{\sin x} \)	\( e^{\sin x}\cos x \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 미분하시오 (정의역 주의).<br>\( e^{\ln x} \)	\( 1 \quad (x>0) \)<br>\( e^{\ln x}=x \) 이므로 미분은 \(1\).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오.<br>\( \sin(2x+1) \)	\( 2\cos(2x+1) \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오 (정의역 주의).<br>\( \ln(5x-7) \)	\( \dfrac{5}{5x-7} \quad \Big(x>\tfrac75\Big) \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오 (정의역 주의).<br>\( \ln(2x+1) \)	\( \dfrac{2}{2x+1} \quad \Big(x>-\tfrac12\Big) \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오 (정의역 주의).<br>\( \ln(x^2) \)	\( \dfrac{2x}{x^2} = \dfrac{2}{x} \quad (x\neq 0) \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오 (정의역 주의).<br>\( \ln(\cos x) \)	\( \dfrac{-\sin x}{\cos x} = -\tan x \quad (\cos x>0\,\text{인 곳}) \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오.<br>\( e^{\,3x+2} \)	\( 3\,e^{\,3x+2} \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오.<br>\( \sin(x^2) \)	\( 2x\cos(x^2) \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오.<br>\( \tan(3x) \)	\( 3\sec^2(3x) \)<br>\( \sec^2(3x)\cdot 3 \).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오.<br>\( 2^{\sin x} \)	\( 2^{\sin x}\ln 2\cdot\cos x \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오 (정의역 주의).<br>\( \ln(\ln x) \)	\( \dfrac{1}{x\ln x} \quad (x>1) \)<br>\( \dfrac{1}{\ln x}\cdot\dfrac{1}{x} \). 안쪽 \(\ln x>0\) 이어야 하므로 \(x>1\).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오.<br>\( 2^{\,3x+2} \)	\( 3\cdot 2^{\,3x+2}\ln 2 \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
다음을 연쇄법칙으로 미분하시오 (정의역 주의).<br>\( \tan(\ln x) \)	\( \dfrac{\sec^2(\ln x)}{x} \quad (x>0) \)<br>\( \sec^2(\ln x)\cdot\dfrac{1}{x} \).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 연쇄법칙
